Id,title,genre,author,desc,rating,day,finish
779446,스윗 싱가포르,로맨스,"김진, 한경찰","본 컨텐츠는 싱가포르관광청의 브랜드 웹툰으로 김진, 한경찰 작가가 전하는 <스윗 싱가포르> 입니다.",9.95,매일 연재,Complited
794383,브레이커 : 이터널 포스,액션,전극진 / 박진환,"전설급 현대무협 도시액션이 시작된다.
괴롭힘에 옥상에서 죽음을 고민하고 있는 하제. 그 앞에 시운이라는 선배가 나타나
대뜸 하제를 아래로 떨어뜨려버린다?! 하지만 무사히 눈을 뜬 곳은 학교 보건실.
다시 시작되는 일진들의 괴롭힘에 하제의 반격은 실패로 끝나고..
하지만 그 앞에 시운이 다시 등장해 하제를 코치해 하제의 주먹으로 일진들을 일격에 쓰러뜨린다.
이제 평범한줄 알았던 학교의 한꺼풀 아래에 있는 무림의 존재가 드러나며, 무림세계로의 험난한 모험이 시작된다.",9.85,매일 연재,Complited
751993,보물과 괴물의 도시,판타지,이을,"""그 지진사고 날 부터 내 눈에 괴물들이 보여.""
빠르게 변해가는 도시에서, 사라져가던 거리의 유물들이 인간에게 들러붙기 시작했다.",9.95,매일 연재,Complited
760001,하렘의 남자들,로맨스,히어리 / 영빈  / 알파타르트,"""내 후궁들부터 들이기로 하였다. 한 다섯 정도.""
타리움 제국의 황녀, 라틸. 그녀의 첫사랑 하이신스는 황제가 되기 위해 본국 권력자의 딸과 결혼한다.
충격 받는 라틸. 하지만 그 충격이 가시기도 전에 황태녀가 되고,이복남매의 반란 세력에 맞서 황위를 지켜낸다.
그렇게 여황제가 된 라틸에게 대신들은 국서를 맞을 것을 제안하는데, 뭔가, 심기에 거슬린다.
'왜 여황제는 후궁을 못 들인다는 거지?'
""저도 최소 다섯 명은 후궁으로 두어야겠습니다. 제가 좋다면 하렘으로 들여보내세요,
보고 마음에 드는 사람을 국서로 삼을 것입니다."" 
전무후무한 여황제의 하렘으로, 치명적인 매력의 남자들이 모여든다!",9.96,매일 연재,Complited
823069,중간계 사우나,감성,고요빛,"인간관계로 지친 유연은 우연히 '중간계 사우나'라는 이세계 사우나로 가게 된다.
거기서 토끼 남자 '묘월'을 만나 현실에서 지친 일들을 힐링하게 되는데 어쩐지 소꿉친구 서윤은 질투를 한다.
이세계 사우나에서 펼쳐지는 힐링 판타지 로맨스!",9.73,매일 연재,Complited
791629,입술이 예쁜 남자,로맨스,고도 / 플라비,"10년 전 첫키스의 주인공이었던 동생친구가 완벽한 어른남자가 되어 나타났다.
여전히 예쁜 입술로 예쁜 말만 골라 하며 작정한 듯 한비를 홀리기 시작하는데...
이 아슬아슬한 줄타기는 누구의 승리로 끝나게 될까?",9.96,매일 연재,Complited
772243,모스크바의 여명,드라마,이샨오 / 황장미,"21세의 피아니스트 이시윤.
사고로 인해 피아노를 더 이상 칠 수 없게 된 삶을 비관하다 죽음을 택했지만,
알아들을 수 없는 외국어로 얘기하는 갑부 집안에서
소녀 '타티아나'로 눈을 뜬다.
신이 주신 기회인 걸까? 아니면 저주인 걸까?
성별이 바뀐 게 뭐 대수냐! 손만 멀쩡하다면 다시 피아노를 칠 수 있어!
어차피 이렇게 된 거 '타티아나'로서 못다 한 꿈을 이뤄보자!",9.95,매일 연재,Complited
814149,집착광공 집사전락,개그,마자,"냉혈, 고독, 성격파탄자, 재벌... 그리고 집착, 집착광공의 표본, 지태광. 
그랬던 그가 어느날 갑자기 나타난 고양이의 집사가 된다?! 너 내가 알던 지태광 맞아..? 
집착광공이 집사로 전락하게 되는 좌충우돌 일상 이야기.",9.97,매일 연재,Complited
802986,잿더미 황후,로맨스,스튜디오BCW / 별보라,"아내, 아프로사를 위해 황제가 된 에일렉.
그러나 그는 그녀를 지키지 못하고 황궁을 불태우며 마지막을 맞이했다.
'어디서부터 잘못된 걸까? 모든 건 널 위해서였는데.'

과거로 돌아온 그는 또다시 아내를 잃지 않기 위해 새로운 세상을 만들고자 한다.

갑자기 달라진 남편의 모습이 낯선 아프로사.
어느 날, 그녀는 낯설지만 익숙한 기억을 떠올리며 혼란스러워하는데…",9.87,매일 연재,Complited
784582,소년 검사,판타지,혁씨,"세계적으로 주목받는 VR 온라인 게임, '퀘스트 히어로'. 
이곳의 네임드 유저인 '하랑'은 알 수 없는 검은 형체에 이끌려 다른 세계로 끌려간다. 
아무리 시도해 봐도 로그아웃은 되지 않고, 설상가상으로 공격까지 당하게 되는데... 
'진짜'로 아픔이 느껴지는 것도 모자라, NPC 유타가 아닌 '진짜' 유타까지 만난다. 
과연 하랑은 '7번의 퀘스트'를 모두 완료하고, 무사히 집으로 돌아갈 수 있을까!? 
낯선 세계에 떨어진 '소년 검사' 하랑의 여정이 시작된다!",9.76,매일 연재,Complited
