id,title,author,genre,description,rating
738177,감히,희나리,"스토리, 스릴러",진실을 향한 입과 귀를 틀어막고 짓누르는 그들 이제 죽음에서 자유로워진 그녀의 복수가 시작된다,9.91
742048,갑자기 커피,우 / 리지,"스토리, 개그",스무살 첫 커피 그리고 첫 사기세계 최고의 바리스타였던 지오반니와 조금은 특이한 직원들과 함께하는20살 동우의 본격 카페 알바 이야기,9.78
318995,갓 오브 하이스쿨,박용제,"스토리, 판타지",전국 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다허구 100 막장 액션의 끝 기대하시라,9.64
730258,갓!김치,김민우,"에피소드, 개그",1000 신토불이 히어로 등장,7.42
732255,갓도령스,도로롱,"스토리, 드라마",갓을 쓴 네명의 꽃도령그들과 함께 드랍 더 비트,9.96
731297,갓물주,HD3,"스토리, 드라마",과거로 갈 수 있는 건물을 얻게 된 평범한 청년 송강기시간 이동으로 내가 얻은 이득만큼 누군가는 피해를 보게 되는 파이 싸움의 현실강기는 과연 어떤 선택을 해 나갈 것인가,9.9
790453,갓트,서패스 / 아거주누,"스토리, 판타지",12계열의 갓트GODTribe가 서로 싸우며 공존하는 세상육식계에게 학대를 받으며 일하던 환식계 꼬마 랏데는포식자에 제물로 바쳐졌으나 영웅 타세르에 의해 구원된다타세르의 말에 따르면 랏데가 바로 포식자들에 맞서 세상을 구원할천년에 한번 태어나는 계시된 존재였고이후 모든 갓트집단의 리더가 될 운명이었다이제 타세르와의 수련 후 세상을 뒤집는 복수가 시작된다,9.91
715159,갓핑크,이상신 / 국중록,"스토리, 판타지",흥분하면 거대해지는 그놈박성기를 함부로 자극하지 마라생체병기 핑크맨의 신체 부위를 나눠가진 초능력자들이 펼치는 박진감 넘치는 액션,9.93
733728,강남도깨비,이경민 / 송준혁,"스토리, 판타지",전세계 44명 황금의 피를 가진 전교1등을 노리는 도깨비가 나타났다지상 최대 공모전 최우수상 수상작,9.78
802865,강남의 기사,B급달궁 / 김재환,"스토리, 판타지",화려한 현대 도시 강남에 원인 모를 재난이 닥친다 온갖 괴물들과 악마에게 영혼을 판 듯한 마법사들이 하늘과 땅 그리고 바다에서 동시에 나타난다 현대의 무기나 과학으로 도저히 대적할 수 없는 차원이 다른 적에게 강남은 지옥으로 변모한다,9.43
762777,강림전기 개정기,철무장미 / 장군,"에피소드, 액션",얼굴 학력 성품 모든 것이 완벽한 전교 1등 우등생 하린그런 그의 옆자리를 차지한 괴상한 전학생이 오늘부터 하린을 죽이겠다는데무협 소설 강림전기에서 튀어나온 악마 최강림과의 파란만장 학교생활 판타지,9.91
578108,강변살다,박윤영,"스토리, 로맨스",이강변이라는 이름의 그녀가 펼쳐가는 20대 청춘 로맨스,9.86
483796,강시대소동,주동근,"스토리, 스릴러",강시대소동 야영지에 강시가 나타났다 찌질한 우리라도 막아야 한다,9.74
774832,같은 학교 친구,유유,"스토리, 로맨스",항상 바른 자세를 하는 같은 반 친구 겨울이요한이는 그런 겨울이가 왠지 신경 쓰인다 그때 마침 짝이 된 두 사람 가까워진 자리만큼 마음의 거리가 좁혀져 간다두근대는 심장 소리피어오르는 얼굴의 이 열기를 뭐라고 부르면 좋은 걸까어쩔 줄 모르는 소년소녀의 첫사랑 이야기,9.97
725830,같은도장,이힝,"스토리, 로맨스",게임 친구였던 귀여운 연하남과같은 검도장에서 만나버렸다,9.98
712362,개를 낳았다,이선,"스토리, 드라마",사랑스러운 너와의 첫 만남부터 이별까지 처음으로 반려견을 키우게 된 다나와 모든것이 처음인 강아지 명동이가 만나 함께 살아가는 이야기 강아지 수명 20년 너와 내가 함께하는 20년 동안 우린 어떤 일을 겪게 될까,9.94
740386,개미,재희,"스토리, 스릴러",우리의 발 밑에 그들이 살고있다,9.8
750571,개미잡이,이익수,"스토리, 드라마",겉과 속이 다른 삶을 살아온 악랄한 인간 고은식 그런 악마와 함께 살고 있는 세진에게 뜻밖의 기회가 찾아온다이들의 비밀스러운 삶을 집요하게 파고드는 형사와 고은식으로부터 어린 시절 온갖 학대를 받으며 살아온 의문의 남자가 복수를 위해 나타난다,9.83
761463,개밥 먹는 남자,김태순,"스토리, 판타지",출근길에 우연히 받은 아임펫 향수를 뿌렸다가 댕댕이 뚜치와 몸이 바뀌어버린 어도남그런데 뚜치가 회사에 출근하더니 투자 계약을 따내고 임원 승진에 짝사랑하는 여직원과 썸을 타기 시작한다뜻밖의 상황에 엮인 어도남은 오늘도 집에 틀어박혀 개밥을 먹는다주인과 반려동물의 몸을 뒤바꾸는 아임펫 향수 때문에 벌어지는 아이러니 코미디 대박 맞겠지2020 지상최대공모전 1기 장려상 수상작,9.93
794980,개와 사람의 시간,무브,"스토리, 드라마",나영의 행복을 위해서라면 무엇이든 할 수 있는 사랑스러운 반려견 우비 그런 우비와 나영의 시간에 불현듯 개를 무서워하는 낯선 남자 영민이 들어오고 나영과 영민의 관계가 가까워질수록 우비와 그녀의 사이는 멀어져 간다 나영의 사랑을 독차지할 수 없게 된 우비 결국 스스로의 한계를 느끼고 그녀의 곁을 떠나 자신을 위한 삶을 살기로 결심하게 되는데,9.77
794103,개인정보 제공에 동의하십니...,신대성,"스토리, 스릴러",어느 날 문득 인생의 작은 인연 하나를 떠올리게 된 현수그 사람의 안부가 궁금해 난생처음 sns에 가입하게 되고 연락하기에 이른다그리고 만남까지그 인연과의 짧은 만남 이후 현수에겐 이상한 일들이 벌어지기 시작한다자신의 개인 정보를 알아야만 가능한 테러들 연이어 발생하면서평범했던 현수의 일상은 점점 무너져 가는데과연 현수는 범인을 잡고 자신의 일상을 되찾을 수 있을까,9.58
729255,개장수,김규삼,"스토리, 판타지",역대급 판타지스릴러 하이브의 프리퀄 곤충에게 지배당한 세상 그 시작과 끝에 개장수가 있다,9.97
72939,개판,현욱,"스토리, 액션",스스로를 정의라 부르는 조직 아마란스 버려진 투견 바울이 겪는 그들의 이야기,9.88
