title,genre,description,rating,writer,illustrator,original_creator
가난을 등에 업은 소녀,로맨스,흔하디 흔한 재벌후계자와 캔디도 울고 갈 박복한 가난소녀의 파란만장 동거기인기작 다세포소녀의 웹툰판,9.13,B급달궁 , 오은지,B급달궁 
가담항설,판타지,이번 주인공은 돌이다돌이지만 동료도 모으고 악당도 물리친다랑또 작가표 동양 판타지 소년만화,9.98,랑또,랑또,랑또
가령의 정체불명 이야기,드라마,어느 날 인어가 내게 말을 걸어왔다 눈을 떠보니 총구가 있었다 그리고 몸이 연기처럼 사라지기 시작했다 판타지보다 비현실적인 우리의 회색빛 이야기,9.95,가령,가령,가령
가비지타임,스포츠,한국 최초 한국형 고교스포츠 웹툰열혈따윈 개나 줘 낙오자들 뿐인 농구부의 운명은,9.96,2사장,2사장,2사장
가상&RPG,판타지,사람은 좀 죽여도 싸우는건 싫어해요 게임에서조차 집 바깥을 나가지 않는 제리 전투는 한 번도 안해봤는데 에픽 무기가 귀속되었다 가상현실 액션 RPG 모브사가 온라인 그 고인물들의 군상극,9.91,주다현,주다현,주다현
가슴털 로망스,개그,최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화,9.93,갸오오,갸오오,갸오오
가우스전자,일상,다국적 문어발 기업 가우스전자 마케팅3부 이야기곽백수 작가가 선보이는 본격 직장인 만화,9.78,곽백수,곽백수,곽백수
가족같은 XX,로맨스,탑 배우 한나나는 우연히 갈 곳 없는 고등학생 유성우를 집에 들인다아슬아슬한 동거가 시작된 가운데 갑자기 좋아하던 선배 이한이 다가오기 시작하는데가족 같은 남자와 가족이 되고 싶은 남자 누가 진짜 가족이 될까,9.94,서우현,서우현,서우현
가족의 초상,드라마,할머니의 죽음과 그로 인한 가족들의 변화를 겪어 나가면서 당연하게만 생각했던 가족의 소중함을 깨닫게 되는 이야기이다,9.88,김승택,김승택,김승택
가짜 동맹,로맨스,소꿉친구와 하루아침에 커플이 되었다통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 윤세이와 김재하동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다,9.98,케냠,케냠,케냠
가짜인간,스릴러,폭력을 일삼던 엄마의 손에서 벗어나 동생 수아와 단둘이 살게 된 지아는무슨 일이 있어도 동생을 행복하게 해주기 위해 늘 고군분투한다그러던 어느 날 여느 때와 다름없이 아르바이트를 하던 지아는 수련회에 간 수아의 번호로 이상한 문자를 받게 된다수련회장이 아닌 낯선 곳에 왔다는 수아수아는 앞으로 행복한 삶을 살게 될 것이라 말하는 정체불명의 누군가그날의 문자를 끝으로 수아는 돌아오지 않고 주변 사람들은 모두 무심하거나 수상하다언제까지고 다른 이들의 도움을 기다릴 수는 없는 상황동생을 되찾는 방법은 지아 자신이 스스로 나서는 것 하나뿐이다고등학교 친구 원승을 데리고 험난한 여정을 떠나는 그녀는 수아의 실종 뒤에 드리운 기묘한 사이비 종교의 소용돌이를 파고들어야 한다,9.43,0환이 , 반얀,0환이 
가타부타타,로맨스,모든 게 서툴고 어색했던 중학교 2학년 15살의 첫 연애그렇게 헤어졌던 첫사랑을 같은 대학 자취방 바로 옆집에서 다시 마주하다 사랑이 뭔지 연애가 뭔지 아직도 헷갈리고 서툴기만 한 스무 살 과연 이번엔스스로에게 당당하고 서로를 솔직하게 마주하는 연애에 성공할 수 있을까,9.95,숭어,숭어,숭어
각자의 디데이,로맨스,헤어졌지만 헤어지지 않은 사이솔직하지 못한 우리들 어떻게 될까요,9.97,오묘,오묘,오묘
간질간질,로맨스,버스에서 시작된 간질간질 첫사랑2017 청춘로맨스 대전 우수상 수상작,9.22,손하은,손하은,손하은
간첩 18세,액션,어린시절부터 북한에서 훈련받은 고아 출신 하진그는 어린소년들을 내려보내 남한의 고위층으로 키우고자 하는 북의 계획에 발탁되어 남한으로 넘어온다이용당하지 않기 위해선 먹는쪽에 서야 한다북에 이용당하기 보다 이용하고자 하는 그는 볼모로잡힌 동생을 구할 힘을 가지기 위해남과북의 조직들을 하나씩 잡아먹는다,9.57,팀꿀빨 , 김주인,팀꿀빨 
간택주의보,로맨스,벗을 위해 변장 후 기방에 들어간 소진우연히 헐벗은 사내 이헌을 마주하게 되는데 낯설지 않은 그는 바로 1년 전 소진이 구해준 사내왕세자 이헌은 잃어버린 기억을 되찾기 위해 소진을 유혹하기 시작하는데 벗을 찾으러 세자빈 간택을 이용해 궐에 잠입하려는 소진완벽한 계획에 변수가 생기고 간택에서 떨어져야만 하는 소진에게 로맨스주의보가 내려졌다,9.93,은겸 , 연개 , 진숙
갇힌 방,스릴러,남의 개인정보를 수집하여 뒤를 캐는 주인공동경하는 같은 반 남학생의 계정을 해킹하고 상상도 못할 행적을 캐낸다충격 받은 플은 겁을 주려고 익명 메세지를 보내게 되고 그 뒤 남학생은 홀연이 모습을 감춘다며칠이 지나고 주인공은 컴퓨터 한 대만 있는 방에 갇혀 눈을 뜨게 되는데과연 주인공은 컴퓨터 한 대로 갇힌 방에서 자신을 가둔 범인을 찾고 탈출할 수 있을까,9.72,찡나 , 지언,찡나 
